;dominio;jornal;main;to_collect
0;www.correiomanha.pt;CM;FALSE;TRUE
1;www.cmjornal.xl.pt;CM;FALSE;TRUE
2;www.cmjornal.pt;CM;TRUE;TRUE
3;www.correiodamanha.xl.pt;CM;FALSE;TRUE
4;classificadoscm.xl.pt;CM;FALSE;TRUE
5;publico.pt;Publico;TRUE;TRUE
6;publico.clix.pt;Publico;FALSE;FALSE
7;30segundos.publico.pt;Publico;FALSE;FALSE
8;a.publico.pt;Publico;FALSE;FALSE
9;acervo.publico.pt;Publico;FALSE;FALSE
10;anuncios.publico.pt;Publico;FALSE;FALSE
11;api.publico.pt;Publico;FALSE;FALSE
12;arte.publico.pt;Publico;FALSE;FALSE
13;assinaturas.publico.pt;Publico;FALSE;FALSE
14;astronomia.publico.pt;Publico;FALSE;FALSE
15;backoffice.cidades.publico.pt;Publico;FALSE;FALSE
16;banners.publico.pt;Publico;FALSE;FALSE
17;bd.publico.pt;Publico;FALSE;FALSE
18;beta.publico.pt;Publico;FALSE;FALSE
19;blogs.publico.clix.pt;Publico;FALSE;FALSE
20;blogs.publico.pt;Publico;FALSE;FALSE
21;blogues.publico.pt;Publico;FALSE;FALSE
22;bo.p24.publico.pt;Publico;FALSE;FALSE
23;bussola.publico.pt;Publico;FALSE;FALSE
24;cidades.publico.pt;Publico;FALSE;FALSE
25;cientistas.publico.pt;Publico;FALSE;FALSE
26;cinecartaz.publico.clix.pt;Publico;FALSE;FALSE
27;cinecartaz.publico.pt;Publico;FALSE;FALSE
28;classificados.publico.clix.pt;Publico;FALSE;FALSE
29;coleccoes.publico.clix.pt;Publico;FALSE;FALSE
30;coleccoes.publico.pt;Publico;FALSE;FALSE
31;comentarios.publico.pt;Publico;FALSE;FALSE
32;comunique.publico.pt;Publico;FALSE;FALSE
33;convites.publico.pt;Publico;FALSE;FALSE
34;data.publico.pt;Publico;FALSE;FALSE
35;desporto.publico.clix.pt;Publico;FALSE;FALSE
36;desporto.publico.pt;Publico;FALSE;FALSE
37;dev.publico.pt;Publico;FALSE;FALSE
38;digital.publico.clix.pt;Publico;FALSE;FALSE
39;digital.publico.pt;Publico;FALSE;FALSE
40;dossiers.publico.clix.pt;Publico;FALSE;FALSE
41;dossiers.publico.pt;Publico;FALSE;FALSE
42;ebookmagnum.publico.pt;Publico;FALSE;FALSE
43;economia.publico.clix.pt;Publico;FALSE;FALSE
44;economia.publico.pt;Publico;FALSE;FALSE
45;ecosfera.publico.clix.pt;Publico;FALSE;FALSE
46;ecosfera.publico.pt;Publico;FALSE;FALSE
47;editorporumdia.publico.pt;Publico;FALSE;FALSE
48;eleicoes.publico.clix.pt;Publico;FALSE;FALSE
49;eleicoes.publico.pt;Publico;FALSE;FALSE
50;eleicoes2009.publico.pt;Publico;FALSE;FALSE
51;emprego.publico.pt;Publico;FALSE;FALSE
52;erro.publico.pt;Publico;FALSE;FALSE
53;euro2004.publico.pt;Publico;FALSE;FALSE
54;euro2008.publico.clix.pt;Publico;FALSE;FALSE
55;euro2008.publico.pt;Publico;FALSE;FALSE
56;feed.p24.publico.pt;Publico;FALSE;FALSE
57;fonts.publico.pt;Publico;FALSE;FALSE
58;fugas.publico.pt;Publico;FALSE;FALSE
59;galerias.publico.pt;Publico;FALSE;FALSE
60;i.publico.pt;Publico;FALSE;FALSE
61;imagens.publico.pt;Publico;FALSE;FALSE
62;imagens0.publico.pt;Publico;FALSE;FALSE
63;imagens1.publico.pt;Publico;FALSE;FALSE
64;imagens2.publico.pt;Publico;FALSE;FALSE
65;imagens3.publico.pt;Publico;FALSE;FALSE
66;imagens4.publico.pt;Publico;FALSE;FALSE
67;imagens5.publico.pt;Publico;FALSE;FALSE
68;imagens6.publico.pt;Publico;FALSE;FALSE
69;imagens7.publico.pt;Publico;FALSE;FALSE
70;imagens8.publico.pt;Publico;FALSE;FALSE
71;imagens9.publico.pt;Publico;FALSE;FALSE
72;imobiliario.publico.pt;Publico;FALSE;FALSE
73;inimigo.publico.clix.pt;Publico;FALSE;FALSE
74;inimigo.publico.pt;Publico;FALSE;FALSE
75;ipsilon.publico.clix.pt;Publico;FALSE;FALSE
76;ipsilon.publico.pt;Publico;FALSE;FALSE
77;jogos.publico.pt;Publico;FALSE;FALSE
78;jornal.publico.clix.pt;Publico;FALSE;FALSE
79;jornal.publico.pt;Publico;FALSE;FALSE
80;lazer.publico.clix.pt;Publico;FALSE;FALSE
81;lazer.publico.pt;Publico;FALSE;FALSE
82;leiloes.publico.pt;Publico;FALSE;FALSE
83;lifestyle.publico.pt;Publico;FALSE;FALSE
84;linguistica.publico.clix.pt;Publico;FALSE;FALSE
85;linguistica.publico.pt;Publico;FALSE;FALSE
86;login.publico.pt;Publico;FALSE;FALSE
87;loja.publico.clix.pt;Publico;FALSE;FALSE
88;loja.publico.pt;Publico;FALSE;FALSE
89;m.cinecartaz.publico.pt;Publico;FALSE;FALSE
